"","age","agecat","degree","educ","emailhrs","hrs1","ndegree","netcat","nethrs","sex","sphrs1","srcheng2","tvhours","usecomp","usemail","usenet","useweb","webhrs","hapmar","happy","speduc","rincome","life","income","maeduc","paeduc","marital","postlife","pres96","richwork","satjob","sibs","spdeg","spwrksta","vote96","wrkstat","zodiac","incomdol","rincdol","husbeduc","wifeduc","husbhr","wifehr","husbft","wifeft","wkftwife","wkfthusb","ageC","educ.diff","wifeduc_comp"
"33",19,"18-29","Less than HS",11,0,20,"Less than high school","1+ to  4 hours",2,"Male",-1,"Yahoo",-1,"Yes","No","Yes","Yes",2,"NAP","PRETTY HAPPY",97,"$1 000 TO 2 999","EXCITING","DK",12,12,"NEVER MARRIED","NAP","NAP","CONTINUE WORKING","VERY DISSATISFIED",2,"NAP","NAP","INELIGIBLE","WORKING PARTTIME","LEO",-2,2000,NA,NA,NA,NA,NA,NA,NA,NA,-27.6363636363636,NA,13.2845659163987
"34",27,"18-29","Less than HS",10,4,37,"Less than high school","4+ to 10 hours",5,"Male",-1,"Not applicable",2,"Yes","Yes","Yes","Yes",1,"PRETTY HAPPY","PRETTY HAPPY",9,"$17500 TO 19999","ROUTINE","$17500 TO 19999",13,12,"MARRIED","NO","NAP","CONTINUE WORKING","VERY SATISFIED",1,"HIGH SCHOOL","KEEPING HOUSE","DID NOT VOTE","WORKING FULLTIME","VIRGO",18750,18750,10,9,37,NA,"Yes","No",0,1,-19.6363636363636,-1,9
"35",60,"60-89","Less than HS",6,-1,-1,"Less than high school","Not Internet user",-1,"Male",40,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",13,"NAP","ROUTINE","$15000 TO 17499",8,0,"MARRIED","YES","NAP","NAP","VERY SATISFIED",10,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","KEEPING HOUSE","PISCES",16250,-2,6,13,NA,40,"No","Yes",1,0,13.3636363636364,7,13
"36",68,"60-89","Less than HS",8,-1,99,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","PRETTY HAPPY",12,"DK","NAP","REFUSED",97,6,"MARRIED","YES","DOLE","NAP","A LITTLE DISSAT",2,"HIGH SCHOOL","KEEPING HOUSE","VOTED","WORKING PARTTIME","AQUARIUS",-1,-2,8,12,NA,NA,"No","No",0,0,21.3636363636364,4,12
"37",71,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",8,"NAP","ROUTINE","REFUSED",8,8,"MARRIED","NAP","NAP","NAP","NAP",1,"LT HIGH SCHOOL","KEEPING HOUSE","INELIGIBLE","RETIRED","CANCER",-1,-2,8,8,NA,NA,"No","No",0,0,24.3636363636364,0,8
"38",70,"60-89","Less than HS",8,-1,20,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",3,"$3 000 TO 3 999","ROUTINE","$17500 TO 19999",99,98,"MARRIED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",9,"LT HIGH SCHOOL","OTHER","DID NOT VOTE","WORKING PARTTIME","LEO",18750,3500,3,8,NA,20,"No","No",0,0,23.3636363636364,5,8
"39",55,"50-59","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"NAP","DULL","$12500 TO 14999",12,98,"WIDOWED","NAP","NAP","NAP","NAP",6,"NAP","NAP","DID NOT VOTE","OTHER","PISCES",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA,8.36363636363637,NA,13.2845659163987
"40",22,"18-29","Less than HS",8,0.333333333333333,-1,"Less than high school","One hour or less",0.833333333333333,"Female",-1,"Yahoo",2,"No","Yes","Yes","Yes",0.5,"NAP","VERY HAPPY",97,"$1 000 TO 2 999","EXCITING","$10000 TO 12499",98,11,"NEVER MARRIED","YES","NAP","CONTINUE WORKING","VERY SATISFIED",6,"NAP","NAP","DID NOT VOTE","TEMP NOT WORKING","LIBRA",11250,2000,NA,NA,NA,NA,NA,NA,NA,NA,-24.6363636363636,NA,13.2845659163987
"41",59,"50-59","Less than HS",9,-1,40,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",10,"$15000 TO 17499","DK","$35000 TO 39999",97,12,"MARRIED","NAP","CLINTON","STOP WORKING","VERY SATISFIED",7,"LT HIGH SCHOOL","RETIRED","VOTED","WORKING FULLTIME","SCORPIO",37500,16250,10,9,NA,40,"No","Yes",1,0,12.3636363636364,-1,9
"42",31,"30-39","Less than HS",9,-1,38,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"$17500 TO 19999","ROUTINE","$40000 TO 49999",10,98,"DIVORCED","YES","NAP","CONTINUE WORKING","MOD. SATISFIED",6,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","LEO",45000,18750,NA,NA,NA,NA,NA,NA,NA,NA,-15.6363636363636,NA,13.2845659163987
"43",80,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",2,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","NAP","DK",2,8,"WIDOWED","YES","CLINTON","NAP",NA,12,"NAP","NAP","VOTED","KEEPING HOUSE","GEMINI",-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,33.3636363636364,NA,13.2845659163987
"44",18,"18-29","Less than HS",12,0.5,-1,"Less than high school","One hour or less",1,"Male",-1,"Not applicable",-1,"Yes","Yes","Yes","Yes",0.5,"NAP","NOT TOO HAPPY",97,"NAP","ROUTINE","$60000 TO 74999",16,16,"NEVER MARRIED","NAP","NAP","NAP","NAP",2,"NAP","NAP","INELIGIBLE","SCHOOL","ARIES",67500,-2,NA,NA,NA,NA,NA,NA,NA,NA,-28.6363636363636,NA,13.2845659163987
"45",77,"60-89","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","DULL","$5 000 TO 5 999",98,97,"WIDOWED","YES","NAP","NAP","NAP",1,"NAP","NAP","DID NOT VOTE","RETIRED","TAURUS",5500,-2,NA,NA,NA,NA,NA,NA,NA,NA,30.3636363636364,NA,13.2845659163987
"46",38,"30-39","Less than HS",8,-1,50,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",-1,"Yes","No answer","No","No",-1,"NAP","PRETTY HAPPY",97,"$35000 TO 39999","EXCITING","$35000 TO 39999",16,97,"NEVER MARRIED","NAP","CLINTON","CONTINUE WORKING","MOD. SATISFIED",3,"NAP","NAP","VOTED","WORKING FULLTIME","LIBRA",37500,37500,NA,NA,NA,NA,NA,NA,NA,NA,-8.63636363636363,NA,13.2845659163987
"47",72,"60-89","Less than HS",10,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",4,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"NAP","NAP","$10000 TO 12499",12,97,"DIVORCED","NO","NAP","NAP","NAP",8,"NAP","NAP","DID NOT VOTE","RETIRED","SAGITTARIUS",11250,-2,NA,NA,NA,NA,NA,NA,NA,NA,25.3636363636364,NA,13.2845659163987
"48",43,"40-49","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",48,"Not applicable",-1,"No","No","No","No",-1,"NOT TOO HAPPY","NOT TOO HAPPY",12,"$8 000 TO 9 999","EXCITING","$50000 TO 59999",97,97,"MARRIED","NAP","NAP","NAP","A LITTLE DISSAT",9,"HIGH SCHOOL","WORKING FULLTIME","DID NOT VOTE","KEEPING HOUSE","ARIES",55000,9000,12,9,48,NA,"Yes","No",0,1,-3.63636363636363,-3,9
"49",66,"60-89","Less than HS",10,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",8,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","ROUTINE","$12500 TO 14999",97,97,"DIVORCED","DK","NAP","NAP","NAP",1,"NAP","NAP","INELIGIBLE","RETIRED","VIRGO",13750,-2,NA,NA,NA,NA,NA,NA,NA,NA,19.3636363636364,NA,13.2845659163987
"50",68,"60-89","Less than HS",8,-1,-1,"Less than high school","Not Internet user",-1,"Male",-1,"Not applicable",2,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",98,"NAP","ROUTINE","$6 000 TO 6 999",8,8,"MARRIED","YES","CLINTON","NAP","NAP",9,"DK","OTHER","VOTED","RETIRED","PISCES",6500,-2,8,NA,NA,NA,"No","No",0,0,21.3636363636364,NA,13.2845659163987
"51",50,"50-59","Less than HS",11,-1,-1,"Less than high school","Not Internet user",-1,"Male",40,"Not applicable",-1,"No","No","No","No",-1,"PRETTY HAPPY","PRETTY HAPPY",12,"NAP","EXCITING","$15000 TO 17499",98,98,"MARRIED","NAP","NAP","NAP","NAP",8,"HIGH SCHOOL","WORKING FULLTIME","DONT KNOW/REMMBR","RETIRED","GEMINI",16250,-2,11,12,NA,40,"No","Yes",1,0,3.36363636363637,1,12
"52",89,"60-89","Less than HS",9,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",5,"No","No","No","No",-1,"NAP","PRETTY HAPPY",97,"NAP","NAP","$6 000 TO 6 999",98,98,"WIDOWED","YES",NA,"NAP","NAP",11,"NAP","NAP","VOTED","RETIRED","PISCES",6500,-2,NA,NA,NA,NA,NA,NA,NA,NA,42.3636363636364,NA,13.2845659163987
"53",79,"60-89","Less than HS",4,-1,-1,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",1,"No","No","No","No",-1,"NAP","NOT TOO HAPPY",97,"NAP","ROUTINE","$4 000 TO 4 999",8,0,"WIDOWED","YES","NAP","NAP",NA,2,"NAP","NAP","DONT KNOW/REMMBR","KEEPING HOUSE","SAGITTARIUS",4500,-2,NA,NA,NA,NA,NA,NA,NA,NA,32.3636363636364,NA,13.2845659163987
"54",67,"60-89","Less than HS",8,-1,98,"Less than high school","Not Internet user",-1,"Male",24,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,"$90000- $109999","EXCITING","$90000 - $109999",6,5,"MARRIED","NAP","NAP","CONTINUE WORKING","MOD. SATISFIED",5,"HIGH SCHOOL","WORKING PARTTIME","DID NOT VOTE","WORKING PARTTIME","SCORPIO",1e+05,1e+05,8,12,NA,24,"No","No",0,0,20.3636363636364,4,12
"55",66,"60-89","Less than HS",10,-1,-1,"Less than high school","Not Internet user",-1,"Male",40,"Not applicable",-1,"No","No","No","No",-1,"VERY HAPPY","VERY HAPPY",12,NA,"EXCITING","$75000 TO $89999",98,98,"MARRIED","NAP","DOLE","NAP","NAP",2,"HIGH SCHOOL","WORKING FULLTIME","VOTED","RETIRED","PISCES",82500,-2,10,12,NA,40,"No","Yes",1,0,19.3636363636364,2,12
"56",31,"30-39","Less than HS",8,-1,35,"Less than high school","Not Internet user",-1,"Female",-1,"Not applicable",3,"No","No","No","No",-1,"NAP","VERY HAPPY",97,"$3 000 TO 3 999","EXCITING","$3 000 TO 3 999",98,97,"DIVORCED","NO","NAP","STOP WORKING","MOD. SATISFIED",16,"NAP","NAP","DID NOT VOTE","WORKING FULLTIME","GEMINI",3500,3500,NA,NA,NA,NA,NA,NA,NA,NA,-15.6363636363636,NA,13.2845659163987
